,i,g,status
1455,55,25,TN
1456,56,0,FP
1457,56,1,FP
1458,56,2,TN
1459,56,3,TN
1460,56,4,TN
1461,56,5,TN
1462,56,6,TN
1463,56,7,TN
1464,56,8,TN
1465,56,9,TN
1466,56,10,TN
1467,56,11,TN
1468,56,12,TN
1469,56,13,TN
1470,56,14,TN
1471,56,15,TN
1472,56,16,TN
1473,56,17,TN
1474,56,18,TN
1475,56,19,TN
1476,56,20,TN
1477,56,21,TN
1478,56,22,TN
1479,56,23,TN
1480,56,24,TN
1481,56,25,TN
1482,57,0,FP
1483,57,1,FP
1484,57,2,FP
1485,57,3,TN
1486,57,4,TN
1487,57,5,TN
1488,57,6,TN
1489,57,7,TN
1490,57,8,TN
1491,57,9,TN
1492,57,10,TN
1493,57,11,TN
1494,57,12,TN
1495,57,13,TN
